.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #MamaBear, 4 Rackets, Adrian A, Assistant Coach Riley?, Batman, Bay City Rollers, beach lady, Bevo's Best, Blind Dog's Bluff, Blindhog2017, Bobbo, Brothers before others, Bumblerooski, Clutch City, Coog Crew, Cowboy, cutie pie, D-Bo, Duke Rules, Eclipse, Em214, Escalante, GlamKam, Go For Bones, Go For Broke, Godiva Nine!, hapagirl, I lost the password to my first bracket, Jake and the Neverland Pirates, Josh's Bracket, Julez, Juul, Katyusha, Kevin's bracket, Lightning, Luck be a lady, Lucky in 2018, Make Bowl Season Great Again, Maui Girl, MidWestWheat, Nurse Ratched, OSUX3, Pepper Bear, Pooh Bear, Putin's Dog, Rapacke's Bracket, Nerf Herder, Santa Cruz Bill, Santa's Helper, Sgt. Pepper, Sorbet, Static, Still a Beaver Believer, Superman, Swampdonkey, Texas Big Red, The Pick Doctor, The Striker, The Water and The Well, Thunder, Trojans, Tucker, UrbranLegend, Victorious Secret, War Beaver, War Eagle, Warren Mooned Me, West Coast Bias, Winning Jeff, Yoda, YOLO Pups
   "22", "Military Bowl", "Virginia", "Navy", "1.5", "Navy", "Navy", "Navy", "Virginia", "Navy", "Navy", "Virginia", "Virginia", "Navy\ :sup:`*`", "Navy", "Navy", "Virginia", "Navy", "Navy", "Navy", "Navy", "Navy", "Navy", "Virginia", "Navy", "Virginia", "Navy", "Navy", "Navy", "Navy", "Navy", "Virginia", "Virginia", "Navy", "Virginia", "Virginia", "Navy", "Navy\ :sup:`*`", "Virginia", "Navy", "Virginia", "Navy", "Navy", "Navy", "Navy", "Navy", "Navy", "Virginia", "Navy", "Navy", "Navy\ :sup:`*`", "Virginia", "Navy", "Navy", "Navy", "Virginia", "Virginia", "Navy", "Navy", "Navy", "Navy", "Virginia", "Virginia", "Navy", "Navy", "Navy", "Navy", "Navy", "Navy", "Virginia", "Virginia", "Navy", "Navy", "Virginia\ :sup:`*`", "Navy", "Virginia"
   "23", "Camping World Bowl", "Oklahoma State", "Virginia Tech", "5.5", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State\ :sup:`*`", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Virginia Tech", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Virginia Tech", "Oklahoma State\ :sup:`*`", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Virginia Tech", "Virginia Tech", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State\ :sup:`*`", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Virginia Tech", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State", "Oklahoma State"
   "24", "Alamo Bowl", "Texas Christian (TCU)", "Stanford", "2.5", "Stanford", "Stanford", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Stanford", "Stanford", "Stanford", "Texas Christian (TCU)", "Stanford", "Stanford\ :sup:`*`", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)", "Stanford", "Stanford", "Stanford", "Stanford", "Stanford", "Stanford", "Texas Christian (TCU)", "Stanford", "Stanford", "Stanford", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)\ :sup:`*`", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)", "Stanford", "Stanford", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Stanford", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Stanford", "Stanford", "Texas Christian (TCU)", "Stanford", "Stanford", "Stanford", "Stanford", "Stanford", "Stanford", "Stanford", "Texas Christian (TCU)", "Texas Christian (TCU)", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)", "Stanford", "Stanford", "Stanford", "Texas Christian (TCU)", "Stanford", "Texas Christian (TCU)\ :sup:`*`", "Stanford", "Texas Christian (TCU)"
   "25", "Holiday Bowl", "Washington State", "Michigan State", "3.0", "Michigan State", "Washington State", "Washington State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Washington State", "Michigan State", "Washington State", "Washington State", "Michigan State", "Washington State", "Washington State", "Michigan State", "Washington State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Washington State", "Michigan State", "Washington State", "Michigan State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Washington State", "Washington State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Washington State", "Washington State", "Washington State", "Washington State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Michigan State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Michigan State", "Washington State", "Michigan State", "Washington State", "Michigan State"
   "26", "Belk Bowl", "Wake Forest", "Texas A&M", "3.0", "Wake Forest", "Texas A&M", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Wake Forest", "Texas A&M", "Texas A&M", "Texas A&M", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Wake Forest", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Texas A&M", "Texas A&M", "Texas A&M", "Wake Forest", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Texas A&M", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Wake Forest", "Texas A&M", "Wake Forest", "Texas A&M", "Wake Forest", "Texas A&M", "Texas A&M", "Texas A&M\ :sup:`*`", "Texas A&M", "Texas A&M", "Wake Forest", "Texas A&M"
   "27", "Sun Bowl", "North Carolina State", "Arizona State", "6.0", "Arizona State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "Arizona State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State\ :sup:`*`", "North Carolina State", "Arizona State", "Arizona State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "Arizona State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State\ :sup:`*`", "North Carolina State", "North Carolina State", "North Carolina State\ :sup:`*`", "North Carolina State", "North Carolina State", "Arizona State", "North Carolina State", "Arizona State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State\ :sup:`*`", "North Carolina State\ :sup:`*`", "North Carolina State", "North Carolina State\ :sup:`*`", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State\ :sup:`*`", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "North Carolina State", "Arizona State", "North Carolina State"
   "28", "Music City Bowl", "Northwestern", "Kentucky", "7.0", "Northwestern", "Northwestern", "Northwestern", "Kentucky", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Kentucky", "Kentucky", "Kentucky", "Kentucky", "Kentucky", "Kentucky", "Kentucky", "Kentucky", "Northwestern", "Kentucky", "Kentucky", "Kentucky", "Kentucky", "Northwestern", "Kentucky", "Kentucky", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Northwestern", "Kentucky", "Kentucky", "Northwestern", "Kentucky", "Kentucky", "Northwestern", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Northwestern", "Kentucky", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Northwestern", "Kentucky", "Kentucky", "Kentucky", "Northwestern", "Northwestern", "Kentucky", "Northwestern", "Kentucky", "Northwestern", "Northwestern", "Kentucky", "Kentucky", "Kentucky", "Northwestern", "Kentucky", "Kentucky", "Northwestern", "Northwestern"
   "29", "Arizona Bowl", "New Mexico State", "Utah State", "4.0", "Utah State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State\ :sup:`*`", "Utah State", "New Mexico State", "New Mexico State", "Utah State", "Utah State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State\ :sup:`*`", "Utah State", "Utah State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State", "Utah State", "New Mexico State", "New Mexico State", "Utah State", "New Mexico State\ :sup:`*`", "New Mexico State", "New Mexico State", "New Mexico State\ :sup:`*`", "New Mexico State", "New Mexico State", "New Mexico State", "Utah State", "New Mexico State", "New Mexico State\ :sup:`*`", "New Mexico State", "New Mexico State", "New Mexico State", "Utah State", "New Mexico State\ :sup:`*`", "New Mexico State", "Utah State", "New Mexico State", "New Mexico State", "Utah State", "Utah State", "New Mexico State", "Utah State", "New Mexico State", "New Mexico State", "Utah State", "Utah State", "New Mexico State", "Utah State", "New Mexico State", "New Mexico State", "New Mexico State", "New Mexico State", "Utah State", "New Mexico State", "New Mexico State", "New Mexico State", "Utah State", "New Mexico State", "Utah State", "Utah State", "New Mexico State\ :sup:`*`", "New Mexico State\ :sup:`*`", "Utah State"
   "30", "Cotton Bowl", "Ohio State", "Southern Cal (USC)", "7.0", "Southern Cal (USC)", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Ohio State", "Southern Cal (USC)", "Southern Cal (USC)", "Southern Cal (USC)\ :sup:`*`", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State\ :sup:`*`", "Southern Cal (USC)\ :sup:`*`", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Southern Cal (USC)", "Ohio State", "Ohio State", "Ohio State", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Ohio State", "Ohio State", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Ohio State", "Southern Cal (USC)", "Ohio State\ :sup:`*`", "Southern Cal (USC)", "Ohio State\ :sup:`*`", "Ohio State", "Ohio State", "Ohio State", "Ohio State", "Ohio State"
   "31", "TaxSlayer Bowl", "Louisville", "Mississippi State", "6.5", "Mississippi State", "Mississippi State", "Mississippi State", "Mississippi State", "Mississippi State", "Louisville", "Louisville", "Louisville", "Louisville", "Louisville", "Louisville", "Louisville", "Mississippi State", "Mississippi State", "Mississippi State", "Mississippi State", "Louisville", "Mississippi State", "Louisville", "Mississippi State", "Mississippi State", "Mississippi State", "Mississippi State", "Louisville", "Louisville", "Louisville", "Mississippi State", "Mississippi State", "Louisville", "Mississippi State", "Louisville", "Mississippi State", "Mississippi State", "Louisville", "Louisville", "Louisville", "Louisville", "Mississippi State", "Mississippi State", "Mississippi State", "Mississippi State", "Mississippi State", "Louisville", "Mississippi State\ :sup:`*`", "Louisville", "Louisville", "Mississippi State", "Mississippi State", "Louisville", "Mississippi State\ :sup:`*`", "Louisville", "Louisville", "Louisville", "Mississippi State", "Louisville", "Louisville", "Louisville", "Louisville", "Mississippi State", "Louisville", "Louisville", "Louisville", "Louisville", "Louisville", "Mississippi State", "Mississippi State", "Louisville", "Mississippi State", "Mississippi State", "Mississippi State", "Louisville"
   "32", "Liberty Bowl", "Memphis", "Iowa State", "3.5", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Iowa State", "Memphis", "Memphis", "Iowa State", "Memphis", "Iowa State", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Iowa State", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Iowa State", "Memphis", "Memphis", "Memphis", "Iowa State", "Iowa State", "Iowa State", "Memphis", "Memphis", "Iowa State", "Memphis", "Iowa State", "Memphis", "Iowa State", "Memphis", "Memphis", "Memphis", "Memphis", "Iowa State", "Memphis", "Memphis", "Memphis", "Iowa State", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Iowa State", "Memphis", "Iowa State", "Memphis\ :sup:`*`", "Iowa State", "Memphis", "Iowa State", "Iowa State", "Iowa State", "Iowa State", "Memphis"
   "33", "Fiesta Bowl", "Penn State", "Washington", "2.5", "Penn State", "Penn State\ :sup:`*`", "Penn State\ :sup:`*`", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State\ :sup:`*`", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State\ :sup:`*`", "Penn State\ :sup:`*`", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State\ :sup:`*`", "Penn State", "Penn State\ :sup:`*`", "Penn State", "Penn State", "Penn State\ :sup:`*`", "Penn State", "Penn State", "Penn State", "Washington", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Washington", "Penn State", "Penn State", "Penn State\ :sup:`*`", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State", "Penn State\ :sup:`*`", "Penn State", "Penn State\ :sup:`*`", "Washington", "Washington", "Washington"
   "34", "Orange Bowl", "Wisconsin", "Miami", "6.5", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin\ :sup:`*`", "Wisconsin\ :sup:`*`", "Wisconsin", "Miami", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Miami", "Wisconsin", "Wisconsin\ :sup:`*`", "Miami", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin", "Miami", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Miami", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Miami", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Miami", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Wisconsin\ :sup:`*`", "Wisconsin\ :sup:`*`", "Wisconsin", "Wisconsin", "Wisconsin\ :sup:`*`", "Miami", "Miami", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin", "Wisconsin", "Miami", "Wisconsin", "Wisconsin\ :sup:`*`"
   "35", "Outback Bowl", "Michigan", "South Carolina", "7.5", "South Carolina", "South Carolina", "Michigan", "South Carolina", "South Carolina", "Michigan", "South Carolina", "Michigan", "South Carolina", "South Carolina", "Michigan", "South Carolina", "South Carolina", "Michigan", "Michigan", "South Carolina", "Michigan", "Michigan", "South Carolina", "Michigan", "Michigan", "South Carolina", "South Carolina", "Michigan", "Michigan", "Michigan", "South Carolina", "South Carolina", "Michigan", "South Carolina", "Michigan", "Michigan", "Michigan", "South Carolina", "Michigan", "South Carolina", "South Carolina", "South Carolina", "Michigan", "Michigan\ :sup:`*`", "South Carolina", "Michigan", "Michigan", "South Carolina", "South Carolina", "South Carolina", "Michigan", "South Carolina", "Michigan", "Michigan", "Michigan", "South Carolina", "South Carolina", "South Carolina", "Michigan", "Michigan", "South Carolina", "South Carolina", "Michigan", "Michigan", "South Carolina", "South Carolina", "South Carolina", "Michigan", "Michigan", "Michigan", "South Carolina", "Michigan", "South Carolina", "South Carolina", "Michigan"
   "36", "Peach Bowl", "Auburn", "University Central Florida (UCF)", "9.5", "University Central Florida (UCF)", "University Central Florida (UCF)", "University Central Florida (UCF)\ :sup:`*`", "Auburn\ :sup:`*`", "University Central Florida (UCF)", "Auburn", "Auburn", "Auburn", "Auburn", "University Central Florida (UCF)\ :sup:`*`", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)", "Auburn", "Auburn", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)", "Auburn", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)", "Auburn", "Auburn", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)", "Auburn", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "University Central Florida (UCF)\ :sup:`*`", "Auburn", "University Central Florida (UCF)", "Auburn", "Auburn\ :sup:`*`", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "Auburn", "University Central Florida (UCF)", "Auburn", "Auburn", "Auburn", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "Auburn", "University Central Florida (UCF)", "University Central Florida (UCF)", "University Central Florida (UCF)", "Auburn", "University Central Florida (UCF)\ :sup:`*`", "University Central Florida (UCF)"
   "37", "Citrus Bowl", "Lousiana State (LSU)", "Notre Dame", "3.0", "Notre Dame", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Notre Dame", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Notre Dame", "Notre Dame", "Notre Dame\ :sup:`*`", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)\ :sup:`*`", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Notre Dame", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)\ :sup:`*`", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Notre Dame", "Lousiana State (LSU)\ :sup:`*`", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Notre Dame", "Notre Dame", "Notre Dame", "Lousiana State (LSU)", "Lousiana State (LSU)", "Notre Dame", "Lousiana State (LSU)", "Notre Dame\ :sup:`*`", "Lousiana State (LSU)\ :sup:`*`"
   "38", "Rose Bowl ( playoff semifinal)", "Gerogia", "Oklahoma", "2.0", "Gerogia", "Oklahoma", "Gerogia", "Oklahoma", "Gerogia", "Gerogia", "Gerogia\ :sup:`*`", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Oklahoma", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Oklahoma", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Oklahoma", "Oklahoma", "Oklahoma", "Oklahoma", "Gerogia", "Gerogia", "Gerogia", "Gerogia", "Gerogia\ :sup:`*`", "Gerogia", "Oklahoma", "Oklahoma", "Oklahoma", "Oklahoma", "Gerogia", "Oklahoma", "Gerogia", "Gerogia", "Gerogia\ :sup:`*`", "Gerogia", "Gerogia", "Oklahoma", "Gerogia", "Gerogia\ :sup:`*`", "Gerogia", "Oklahoma", "Oklahoma", "Gerogia", "Gerogia", "Gerogia", "Oklahoma", "Gerogia", "Oklahoma", "Gerogia", "Oklahoma", "Gerogia", "Oklahoma", "Oklahoma", "Gerogia", "Oklahoma", "Gerogia", "Oklahoma", "Oklahoma"
   "39", "Sugar Bowl (playoff semifinal)", "Alabama", "Clemson", "2.5", "Clemson", "Clemson", "Alabama", "Clemson", "Alabama", "Alabama", "Alabama", "Clemson", "Alabama", "Clemson", "Clemson", "Clemson", "Alabama", "Alabama", "Alabama", "Clemson", "Clemson", "Alabama", "Clemson", "Clemson", "Alabama", "Alabama", "Alabama", "Alabama", "Alabama", "Alabama", "Clemson", "Alabama", "Alabama", "Clemson", "Alabama", "Alabama", "Alabama", "Clemson", "Alabama", "Alabama", "Clemson", "Clemson", "Alabama", "Clemson", "Clemson", "Alabama", "Alabama", "Clemson\ :sup:`*`", "Alabama", "Alabama", "Alabama", "Clemson", "Clemson", "Clemson", "Alabama", "Clemson", "Alabama", "Clemson", "Alabama", "Clemson", "Clemson", "Alabama", "Clemson", "Alabama", "Alabama", "Alabama", "Clemson", "Alabama", "Clemson", "Clemson", "Alabama", "Clemson", "Clemson", "Clemson", "Alabama"
   "B1", "Who will win the National Championship game (2pts)?", " ", " ", " ", "Oklahoma", "Oklahoma", "Alabama", "Georgia", "Oklahoma", "Alabama", "Clemson", "Alabama", "Georgia", "Oklahoma", "Oklahoma", "Alabama", "Oklahoma", "Clemson", "Alabama", "Alabama", "Clemson", "Georgia", "Alabama", "Oklahoma", "Alabama", "Oklahoma", "Clemson", "Alabama", "Oklahoma", "Clemson", "Georgia", "Alabama", "Alabama", "Alabama", "Alabama", "Oklahoma", "Alabama", "Georgia", "Alabama", "Georgia", "Oklahoma", "Alabama", "Alabama", "Clemson", "Alabama", "Oklahoma", "Alabama", "Clemson", "Alabama", "Georgia", "Georgia", "Oklahoma", "Clemson", "Alabama", "Oklahoma", "Georgia", "Oklahoma", "Alabama", "Georgia", "Georgia", "Clemson", "Alabama", "Alabama", "Alabama", "Alabama", "Clemson", "Clemson", "Georgia", "Georgia", "Oklahoma", "Clemson", "Oklahoma", "Oklahoma", "Clemson", "Alabama"
   "B2", "Will South Carolina recover a Michigan fumble  in the Outback bowl?", " ", " ", " ", "No", "Yes", "No", "No", "Yes", "No", "No", "No", "Yes", "Yes", "No", "No", "No", "No", "Yes", "No", "No", "No", "Yes", "Yes", "Yes", "No", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "No", "No", "No", "No", "Yes", "No", "No", "No", "No", "No", "No", "Yes", "No", "No", "No", "No", "Yes", "Yes", "Yes", "No", "No", "Yes", "Yes", "No", "No", "No", "No", "No", "No", "No", "No", "No", "No", "Yes", "Yes", "No", "No", "Yes", "Yes", "Yes", "Yes", "No", "Yes"
   "B3", "Will JT Barrett (Ohio State) score more touchdowns (running and passing (and receiving)) than Sam Donald (USC)?", " ", " ", " ", "No", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "No", "No", "No", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "No", "No", "Yes", "Yes", "Yes", "No", "No", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "No"
   "B4", "Will Dante Pettis have more than 20 yards in punt return yardage?", " ", " ", " ", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "No", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "No", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "No", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "No", "No", "Yes"
   "B5", "Will Clemson gain 345 yards of offense against Alabama?", " ", " ", " ", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "No", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "Yes", "No", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "No", "Yes", "No", "No", "No", "Yes", "No", "Yes", "Yes", "No", "No", "No", "Yes", "Yes", "No", "No", "No", "No", "No", "No", "No", "Yes", "Yes", "No", "Yes", "No", "No", "Yes", "Yes", "No", "No", "No", "No", "Yes", "No", "No", "No", "No", "Yes", "Yes", "Yes", "No", "Yes"
   "B6", "Will Baker Mayfield have more than 325 yards passing against Georgia?", " ", " ", " ", "No", "Yes", "Yes", "No", "No", "Yes", "No", "No", "No", "No", "Yes", "No", "No", "No", "No", "Yes", "No", "No", "Yes", "Yes", "No", "No", "No", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "No", "No", "Yes", "Yes", "No", "No", "Yes", "No", "Yes", "Yes", "No", "Yes", "Yes", "Yes", "No", "No", "No", "No", "Yes", "No", "Yes", "Yes", "Yes", "Yes", "Yes", "No", "No", "No", "Yes", "No", "No", "No", "Yes", "No", "No", "No", "No", "No", "Yes", "No", "No", "No"
